ID,Date,Location,Latitude,Longtitude,Magnitude,Depth,Record date
64,6/25/2006 11:58,YATAGAN (MUGLA),37.2818,28.2463,2.7,24.3,01:53.6
65,6/25/2006 18:12,YATAGAN (MUGLA),37.2962,28.232,2.9,19.2,01:53.6
66,6/26/2006 13:43,YATAGAN (MUGLA),37.2252,28.1457,2.7,5,01:53.6
67,6/28/2006 18:23,YATAGAN (MUGLA),37.2957,28.2335,2.7,5.3,01:53.6
68,6/29/2006 18:21,YATAGAN (MUGLA),37.251,28.2108,2.7,5.5,01:53.6
69,7/1/2006 12:06,YATAGAN (MUGLA),37.2298,28.137,2.6,5.6,01:53.6
70,7/3/2006 13:00,YATAGAN (MUGLA),37.2738,28.2105,2.8,5,01:53.6
71,7/9/2006 18:16,YATAGAN (MUGLA),37.2453,28.1853,2.9,10.5,01:53.6
72,7/10/2006 13:37,YATAGAN (MUGLA),37.3153,28.1973,2.9,11.9,01:53.6
73,7/10/2006 18:07,YATAGAN (MUGLA),37.2593,28.2032,2.7,5.4,01:53.6
74,7/14/2006 18:10,YATAGAN (MUGLA),37.3142,28.2115,2.7,16.2,01:53.6
75,7/28/2006 12:03,YATAGAN (MUGLA),37.2775,28.1837,2.7,5,01:53.6
76,8/30/2006 12:42,YATAGAN (MUGLA),37.2793,28.2173,2.6,8.4,01:53.7
77,8/30/2006 12:43,YATAGAN (MUGLA),37.2908,28.2118,2.5,5,01:53.7
78,9/3/2006 18:17,YATAGAN (MUGLA),37.2585,28.1735,2.9,5,01:53.7
79,9/10/2006 13:22,YATAGAN (MUGLA),37.2548,28.0442,2.9,28.4,01:53.7
80,9/10/2006 18:06,YATAGAN (MUGLA),37.242,28.1817,2.6,5,01:53.7
81,9/12/2006 11:59,TURGUT-YATAGAN (MUGLA),37.3973,28.0625,2.6,17.2,01:53.7
82,9/23/2006 18:11,YATAGAN (MUGLA),37.27,28.192,2.9,5,01:53.7
83,11/16/2006 13:03,YATAGAN (MUGLA),37.231,28.1935,2.7,15.5,01:53.9
84,11/19/2006 12:34,YATAGAN (MUGLA),37.2707,28.1633,2.9,14.7,01:53.9
85,11/21/2006 17:03,YATAGAN (MUGLA),37.3328,28.242,2.8,13.5,01:53.9
86,11/22/2006 11:46,YATAGAN (MUGLA),37.3535,28.2365,2.7,8.5,01:53.9
87,12/18/2006 5:25,YATAGAN (MUGLA),37.2163,28.1143,3,8.5,01:53.9
88,12/28/2006 12:11,YATAGAN (MUGLA),37.2663,28.2167,2.7,5,01:53.9
89,12/29/2006 12:03,YATAGAN (MUGLA),37.2655,28.2147,2.8,3.2,01:53.9
90,12/29/2006 12:58,YATAGAN (MUGLA),37.2668,28.2065,2.8,5.4,01:53.9
91,1/10/2007 12:23,YATAGAN (MUGLA),37.2388,28.2092,2.7,13.5,01:54.0
