ID,Date,Location,Latitude,Longtitude,Magnitude,Depth,Record date
202,11/27/2012 23:31,BOZBURUN-MARMARIS (MUGLA)                         ,36.6672,28.0018,1.8,26.6,02:01.7
203,11/28/2012 1:08,BOZBURUN-MARMARIS (MUGLA)                         ,36.669,28.0722,1.8,23.6,02:01.7
204,11/28/2012 1:10,BOZBURUN-MARMARIS (MUGLA)                         ,36.6945,27.9813,1.7,10.4,02:01.7
205,11/28/2012 2:48,BOZBURUN-MARMARIS (MUGLA)                         ,36.6603,28.019,1.7,18.9,02:01.7
206,11/28/2012 4:05,TASLICA-MARMARIS (MUGLA)                          ,36.5833,28.0487,1.9,26,02:01.7
207,11/28/2012 4:30,BOZBURUN-MARMARIS (MUGLA)                         ,36.6187,28.0125,1.6,5.1,02:01.7
208,11/28/2012 4:33,BOZBURUN-MARMARIS (MUGLA)                         ,36.6432,28.0185,1.8,6.6,02:01.7
209,11/28/2012 5:31,BOZBURUN-MARMARIS (MUGLA)                         ,36.7092,28.042,1.6,8.8,02:01.7
210,11/28/2012 13:55,BOZBURUN-MARMARIS (MUGLA)                         ,36.6372,28.0103,2,21.5,02:01.7
211,11/28/2012 21:59,BOZBURUN-MARMARIS (MUGLA)                         ,36.7207,27.9753,2,12.9,02:01.7
212,12/3/2012 5:47,BOZBURUN-MARMARIS (MUGLA)                         ,36.6465,28.0175,2.5,5,02:01.8
213,12/8/2012 1:57,BELDIBI-MARMARIS (MUGLA)                          ,36.9018,28.2703,2.4,8.6,02:01.8
214,12/10/2012 12:11,BOZBURUN-MARMARIS (MUGLA)                         ,36.6473,28.0455,2.1,7.8,02:01.8
215,12/12/2012 7:21,BOZBURUN-MARMARIS (MUGLA)                         ,36.646,28.034,2.2,10.7,02:01.8
216,12/12/2012 18:03,TURGUTKOY-MARMARIS (MUGLA)                        ,36.771,28.0863,2.7,70.5,02:01.8
217,12/15/2012 13:01,BELDIBI-MARMARIS (MUGLA)                          ,36.878,28.3002,2.1,6.7,02:01.8
218,12/18/2012 11:34,CETIBELI-MARMARIS (MUGLA)                         ,36.932,28.338,2,8.3,02:01.8
219,12/29/2012 22:02,BOZBURUN-MARMARIS (MUGLA)                         ,36.6492,28.0472,3.1,13.1,02:01.8
220,12/30/2012 10:52,TASLICA-MARMARIS (MUGLA)                          ,36.6345,28.0727,3,11.9,02:01.8
