ID,Date,Location,Latitude,Longtitude,Magnitude,Depth,Record date
314,5/16/2013 18:57,EKINCIK-KOYCEGIZ (MUGLA)                          ,36.8752,28.4862,2.1,3.3,02:02.8
315,5/17/2013 21:22,EKINCIK-KOYCEGIZ (MUGLA)                          ,36.8918,28.4453,2.2,5,02:02.8
316,5/18/2013 1:59,EKINCIK-KOYCEGIZ (MUGLA)                          ,37.0075,28.4597,1.8,9,02:02.8
317,5/25/2013 3:55,SULTANIYE-KOYCEGIZ (MUGLA)                        ,36.9178,28.6275,1.8,4.8,02:02.8
318,5/30/2013 6:41,AKKOPRU-KOYCEGIZ (MUGLA)                          ,36.9825,28.9295,2.9,6.1,02:02.8
319,5/31/2013 3:04,YAYLA-KOYCEGIZ (MUGLA)                            ,37.0148,28.8682,1.8,5,02:02.8
320,6/10/2013 10:58,YAYLA-KOYCEGIZ (MUGLA)                            ,37.099,28.7298,1.8,5,02:03.0
321,6/11/2013 6:58,YAYLA-KOYCEGIZ (MUGLA)                            ,37.0333,28.7287,1.8,15.5,02:03.0
322,6/11/2013 13:47,DOGUSBELEN-KOYCEGIZ (MUGLA)                       ,36.9948,28.5843,2.4,4.9,02:03.0
323,6/22/2013 0:30,OTMANLAR-KOYCEGIZ (MUGLA)                         ,37.0205,28.8552,1.7,4.6,02:03.0
324,6/26/2013 21:33,BALCILAR-KOYCEGIZ (MUGLA)                         ,37.069,28.522,1.8,12.4,02:03.0
325,6/27/2013 3:30,BALCILAR-KOYCEGIZ (MUGLA)                         ,37.073,28.5537,2,5.3,02:03.0
326,6/29/2013 6:08,BALCILAR-KOYCEGIZ (MUGLA)                         ,37.0735,28.5892,1.6,16.3,02:03.0
327,7/1/2013 13:21,CANDIR-KOYCEGIZ (MUGLA)                           ,36.8198,28.5813,1.6,13.4,02:03.2
328,7/1/2013 13:44,CANDIR-KOYCEGIZ (MUGLA)                           ,36.8032,28.604,1.7,15.3,02:03.2
329,7/20/2013 23:17,KAVAKARASI-KOYCEGIZ (MUGLA)                       ,36.9112,28.7425,1.8,6.5,02:03.2
330,7/27/2013 15:32,YAYLA-KOYCEGIZ (MUGLA)                            ,37.0598,28.7662,2,15,02:03.2
331,7/14/2013 13:21,SAZAK-KOYCEGIZ (MUGLA)                            ,37,28.8863,2.8,7.9,02:03.2
332,7/16/2013 18:18,PINAR-KOYCEGIZ (MUGLA)                            ,36.9057,28.8195,2.2,13,02:03.2
333,7/18/2013 15:32,EKINCIK-KOYCEGIZ (MUGLA)                          ,36.8867,28.5277,1.8,22.3,02:03.2
334,8/3/2013 8:30,OTMANLAR-KOYCEGIZ (MUGLA)                         ,37.1302,28.9442,2.5,8.5,02:03.4
335,8/3/2013 9:00,YAYLA-KOYCEGIZ (MUGLA)                            ,37.131,28.9347,1.9,12.7,02:03.4
336,8/4/2013 0:49,OTMANLAR-KOYCEGIZ (MUGLA)                         ,37.1293,28.9107,2.6,5.8,02:03.4
337,8/4/2013 8:08,OTMANLAR-KOYCEGIZ (MUGLA)                         ,37.1317,28.922,2.3,8.3,02:03.4
338,8/5/2013 4:11,AKKOPRU-KOYCEGIZ (MUGLA)                          ,36.9143,28.9147,1.9,9.4,02:03.4
339,8/9/2013 1:45,BALCILAR-KOYCEGIZ (MUGLA)                         ,37.0908,28.5877,2,5,02:03.4
340,8/12/2013 6:11,KARACAM-KOYCEGIZ (MUGLA)                          ,37.1505,29.0183,1.6,15.2,02:03.4
341,8/29/2013 8:13,PINAR-KOYCEGIZ (MUGLA)                            ,36.9017,28.7852,1.9,5,02:03.4
342,9/20/2013 18:26,YAYLA-KOYCEGIZ (MUGLA)                            İlksel,37.0648,28.7683,1.9,8,02:03.6
343,9/20/2013 20:05,YAYLA-KOYCEGIZ (MUGLA)                            İlksel,37.108,28.829,2.1,9.5,02:03.6
344,9/29/2013 10:46,YAYLA-KOYCEGIZ (MUGLA)                            İlksel,37.0533,28.7997,1.8,8.7,02:03.6
345,9/30/2013 4:03,YANGI-KOYCEGIZ (MUGLA)                            İlksel,36.9768,28.7225,1.3,5,02:03.6
346,10/30/2013 6:37,YAYLA-KOYCEGIZ (MUGLA) [North East 1.6 km],37.0448,28.7635,1.6,7.4,02:03.7
347,10/24/2013 7:37,BALCILAR-KOYCEGIZ (MUGLA) [South West 1.7 km],37.0645,28.5678,1.7,5.2,02:03.7
348,10/22/2013 7:14,OTMANLAR-KOYCEGIZ (MUGLA) [North East 7.1 km],37.0983,28.9633,1.8,6.4,02:03.7
349,10/22/2013 4:16,OTMANLAR-KOYCEGIZ (MUGLA) [North West 4.7 km],37.0798,28.8953,1.5,12.3,02:03.7
350,10/8/2013 15:55,DOGUSBELEN-KOYCEGIZ (MUGLA) [North West 5.8 km],37.0262,28.557,1.9,16.4,02:03.7
351,10/1/2013 15:02,CAYHISAR-KOYCEGIZ (MUGLA) [South East 2.6 km],36.96,28.8643,2.4,1.6,02:03.7
352,10/21/2013 11:42,SULTANIYE-KOYCEGIZ (MUGLA) [North West 8.4 km],36.9148,28.5048,1.6,12,02:03.7
353,10/16/2013 2:16,BALCILAR-KOYCEGIZ (MUGLA) [South West 1.7 km],37.066,28.5655,1.3,8.7,02:03.7
354,10/10/2013 17:45,YAYLA-KOYCEGIZ (MUGLA) [ 7.84 km],37.0968,28.7907,2,8.3,02:03.7
355,10/10/2013 9:13,YAYLA-KOYCEGIZ (MUGLA) [ 8.64 km],37.1055,28.7878,2.2,5,02:03.7
356,11/8/2013 23:25,KARACAM-KOYCEGIZ (MUGLA)                          İlksel,37.0843,28.9872,2,13.4,02:03.9
357,11/16/2013 5:28,BALCILAR-KOYCEGIZ (MUGLA)                         İlksel,37.0092,28.591,1.6,13.7,02:03.9
358,12/1/2013 1:13,HAMITKOY-KOYCEGIZ (MUGLA)                         İlksel,36.9583,28.6123,1.8,4.4,02:04.1
359,12/7/2013 22:18,MERKEZ-KOYCEGIZ (MUGLA)                           İlksel,36.9042,28.6908,2.7,11.5,02:04.1
